country_code,region,year,value,indicator_code,indicator_name
GRC,Europe,2001,6.8,MDG_0000000020,Tuberculosis Incidence
BDI,Africa,2021,93.0,MDG_0000000020,Tuberculosis Incidence
MDG,Africa,2002,221.0,MDG_0000000020,Tuberculosis Incidence
GIN,Africa,2014,179.0,MDG_0000000020,Tuberculosis Incidence
USA,Americas,2007,5.5,MDG_0000000020,Tuberculosis Incidence
CPV,Africa,2023,53.0,MDG_0000000020,Tuberculosis Incidence
IRL,Europe,2020,5.6,MDG_0000000020,Tuberculosis Incidence
NGA,Africa,2015,219.0,MDG_0000000020,Tuberculosis Incidence
HRV,Europe,2020,5.6,MDG_0000000020,Tuberculosis Incidence
BLR,Europe,2015,54.0,MDG_0000000020,Tuberculosis Incidence
SUR,Americas,2017,31.0,MDG_0000000020,Tuberculosis Incidence
TTO,Americas,2001,33.0,MDG_0000000020,Tuberculosis Incidence
PRT,Europe,2020,15.0,MDG_0000000020,Tuberculosis Incidence
MLI,Africa,2011,70.0,MDG_0000000020,Tuberculosis Incidence
CUB,Americas,2010,9.8,MDG_0000000020,Tuberculosis Incidence
MRT,Africa,2013,118.0,MDG_0000000020,Tuberculosis Incidence
MDV,South-East Asia,2012,49.0,MDG_0000000020,Tuberculosis Incidence
TUN,Eastern Mediterranean,2001,49.0,MDG_0000000020,Tuberculosis Incidence
ETH,Africa,2007,324.0,MDG_0000000020,Tuberculosis Incidence
CRI,Americas,2006,17.0,MDG_0000000020,Tuberculosis Incidence
YEM,Eastern Mediterranean,2018,39.0,MDG_0000000020,Tuberculosis Incidence
LTU,Europe,2020,34.0,MDG_0000000020,Tuberculosis Incidence
GEO,Europe,2010,174.0,MDG_0000000020,Tuberculosis Incidence
ISR,Europe,2024,2.4,MDG_0000000020,Tuberculosis Incidence
ZAF,Africa,2004,1150.0,MDG_0000000020,Tuberculosis Incidence
NIC,Americas,2007,80.0,MDG_0000000020,Tuberculosis Incidence
FRA,Europe,2008,10.0,MDG_0000000020,Tuberculosis Incidence
COL,Americas,2023,46.0,MDG_0000000020,Tuberculosis Incidence
MCO,Europe,2007,0.9,MDG_0000000020,Tuberculosis Incidence
BIH,Europe,2010,57.0,MDG_0000000020,Tuberculosis Incidence
IRQ,Eastern Mediterranean,2022,23.0,MDG_0000000020,Tuberculosis Incidence
IRN,Eastern Mediterranean,2015,20.0,MDG_0000000020,Tuberculosis Incidence
JAM,Americas,2022,3.9,MDG_0000000020,Tuberculosis Incidence
SDN,Eastern Mediterranean,2005,143.0,MDG_0000000020,Tuberculosis Incidence
TTO,Americas,2016,20.0,MDG_0000000020,Tuberculosis Incidence
SVK,Europe,2015,7.0,MDG_0000000020,Tuberculosis Incidence
KEN,Africa,2023,214.0,MDG_0000000020,Tuberculosis Incidence
COD,Africa,2012,480.0,MDG_0000000020,Tuberculosis Incidence
GRD,Americas,2024,1.7,MDG_0000000020,Tuberculosis Incidence
VEN,Americas,2003,52.0,MDG_0000000020,Tuberculosis Incidence
MDV,South-East Asia,2011,42.0,MDG_0000000020,Tuberculosis Incidence
HND,Americas,2009,66.0,MDG_0000000020,Tuberculosis Incidence
GTM,Americas,2020,18.0,MDG_0000000020,Tuberculosis Incidence
ETH,Africa,2008,305.0,MDG_0000000020,Tuberculosis Incidence
CAF,Africa,2008,579.0,MDG_0000000020,Tuberculosis Incidence
NIC,Americas,2003,102.0,MDG_0000000020,Tuberculosis Incidence
RWA,Africa,2017,65.0,MDG_0000000020,Tuberculosis Incidence
MNE,Europe,2016,20.0,MDG_0000000020,Tuberculosis Incidence
NZL,Western Pacific,2015,7.5,MDG_0000000020,Tuberculosis Incidence
TGO,Africa,2007,91.0,MDG_0000000020,Tuberculosis Incidence
CAN,Americas,2021,5.4,MDG_0000000020,Tuberculosis Incidence
ISR,Europe,2011,7.0,MDG_0000000020,Tuberculosis Incidence
MYS,Western Pacific,2015,104.0,MDG_0000000020,Tuberculosis Incidence
RWA,Africa,2022,62.0,MDG_0000000020,Tuberculosis Incidence
LUX,Europe,2019,9.0,MDG_0000000020,Tuberculosis Incidence
